# Image	Size(bytes)	Filename	Source URL
090	492226	Carrara I.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576428733574-G80N6GXZRSOKXNHR7T7I/Carrara+I.png
091	412138	DSCF6067 (2).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610899424932-F540ATG3I00PM4TQE2TK/DSCF6067+%282%29.JPG
092	96240	Dystopi.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429527894-V22ST02VFRPDCTHFIWQU/Dystopi.jpg
093	482600	IMG_0037.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429597918-EQS7OXT090R13X9TXFV9/IMG_0037.jpg
094	268514	IMG_0040.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429548390-U6FL0X9Y14NV5EVCUPRN/IMG_0040.jpg
095	3896812	Saigon - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/39b08169-6c03-4719-b979-93dbd7125abc/Saigon+-+redigert_web.png
096	202050	Norse Petroleum 1977.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429562450-6VNDKFDM0BKANYSET42D/Norse+Petroleum+1977.jpg
097	3858110	homage - redigert_web_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/e6c597f1-5778-4da1-8b07-dbb11c4d8360/homage+-+redigert_web.png
098	4709474	nattryttere - redigert_web_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/2f3fdd9e-8e21-44a4-8df0-5cdb1774a653/nattryttere+-+redigert_web.png
099	112716	Outsider 1979.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429562549-6DJIDFG2MF3S7GJGAX77/Outsider+1979.jpg
100	140864	Outsider II 1980.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429590976-O9GQDCWIBR2P7A0RJZP1/Outsider+II+1980.jpg
101	183678	Reitgjerdet II 1980.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429593862-CGPOWI942MVE0C01OAHQ/Reitgjerdet+II+1980.jpg
102	179432	Uten tittel 1983.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429613093-OCE6PC217KMHPLDOI31A/Uten+tittel+1983.jpg
103	131716	Bravo I og II.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429679082-BSO2LIS6IIRA5SP7QNTO/Bravo+I+og+II.jpg
104	4956928	Reitgjerdet - redigert_web.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/031e25a0-6fe6-49e4-8306-3ddd276a1d71/Reitgjerdet+-+redigert_web.png
105	71842	IMG_000811.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/68dc162a-e0f9-4963-9dff-bdadcd63e12f/IMG_000811.jpg
106	110700	Byråkratens drømmereise.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1576429541862-C94ML477S475W5F0KQHV/Byr%C3%A5kratens+dr%C3%B8mmereise.jpg
107	642312	20210622_165021.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624717236845-N2PJ57UDWX6ABHJ7KF79/20210622_165021.jpg
108	526412	20210627_223503 (2).jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625005192466-2QF56YT2ZJ6FW6A8XEK6/20210627_223503+%282%29.jpg
109	439698	Siste kløver (blues for en blå hest) (2).jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625005452857-YDVA85AID3WLBZO00JCX/Siste+kl%C3%B8ver+%28blues+for+en+bl%C3%A5+hest%29+%282%29.jpg
110	1292776	20210626_164957v2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/09ed1d14-5653-49f2-9fd4-366445daec53/20210626_164957v2.jpg
111	161326	20210626_163647v2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/5157843a-87ce-44aa-a64c-88468a3fad40/20210626_163647v2.jpg
112	734358	20210626_170111v2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/b31d0871-4637-43c5-8165-ec93bcf4c9d2/20210626_170111v2.jpg
113	336246	20210626_172256v2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625259659979-54WDMYBTNXIBQDGYQZ1S/20210626_172256v2.jpg
114	995686	20210626_165222v2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/29577d31-c4c1-4182-8c58-610e0bd0ecfc/20210626_165222v2.jpg
115	4505630	Stemningsfragment - redigert_web_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625260042293-1ZUWOQMBO7USUK1OQBCS/Stemningsfragment+-+redigert_web.png
116	437140	DSCF6144 (2).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/01bfc350-0b1b-4ba8-9db2-91676fa2dc2b/DSCF6144+%282%29.JPG
117	1562224	Puma_3.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610900764959-904IWDDLHWC2U37NJDOM/Puma.png
118	512902	DSCF6080 (3).JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/94fcef7f-b0e3-4466-a448-e2a96741002d/DSCF6080+%283%29.JPG
119	696778	DSCF6105 (2)_2.JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610900800652-2NLKNPU9X67UNJSMNS28/DSCF6105+%282%29.JPG
120	116572	DSCF6066 (3)_2.JPG	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610900733985-KNHEREQJ56997XXYZ9T8/DSCF6066+%283%29.JPG
121	5050418	Sort Luciagutt - redigert_web_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/aaadf002-c96f-4a3d-83c1-1442d9cb2168/Sort+Luciagutt+-+redigert_web.png
122	228730	DSCF6145.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1610897541533-I4LXWT541ZMIO7B5V2QJ/DSCF6145.jpg
123	430	favicon.ico	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1577726211469-5P5VEUAM4MR7NN571M38/favicon.ico
124	4703524	Vinterkriger - redigert_web_2.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625260820789-QV5AM2XPPCXCEFZTMBP2/Vinterkriger+-+redigert_web.png
125	336246	20210626_172256v2_2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625259573819-ZV50ZTL5AYGQF556A4RH/20210626_172256v2.jpg
126	439698	Siste kløver (blues for en blå hest) (2)_2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625005441675-2KRCNFIR0IIQ61E5QCUB/Siste+kl%C3%B8ver+%28blues+for+en+bl%C3%A5+hest%29+%282%29.jpg
127	526412	20210627_223503 (2)_2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1625005189734-ZMMPD0GKTEYCU87EUCHQ/20210627_223503+%282%29.jpg
128	4709474	nattryttere - redigert_web_3.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624793694738-MUN54NACET9NF70LMT13/nattryttere+-+redigert_web.png
129	3858110	homage - redigert_web_3.png	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624793557134-3C8RMCFB5K7XMYD8WOXI/homage+-+redigert_web.png
130	995686	20210626_165222v2_2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624722256855-9QBSJOVXJB291T46BKGH/20210626_165222v2.jpg
131	995686	20210626_165222v2_3.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624722260459-CAGHDG20NMDFZR441GEF/20210626_165222v2.jpg
132	734358	20210626_170111v2_2.jpg	https://images.squarespace-cdn.com/content/v1/5df50f84a345bc32f57e455c/1624720516944-88HZTWDO7B3XGLJXN2SJ/20210626_170111v2.jpg
